Feature,Importance
satisfaction_level,0.9871230853216014
number_project,0.601474786159387
last_evaluation,0.3816934520238169
average_montly_hours,0.3501560812535175
time_spend_company,0.3026303113681573
hours_eval,0.15890372989408108
support,0.005408337967039434
high,0.0033464091171058197
low,0.0029407837695778483
technical,0.00233234574828578
hr,0.0016563035024058648
Work_accident,0.001419688716348011
sales,0.0010478654811139076
management,0.0008450528073499219
medium,0.0006422401335859362
accounting,0.0005408337967041099
RandD,0.0003718232352339923
marketing,0.00023661478605796482
random,0.0002028126737639857
product_mng,-0.00010140633688182632
IT,-0.0003380211229400132
promotion_last_5years,-0.0007774485827619637
